x,y
55087.31,104.75
55087.344,108.27
55087.373,111.45
55087.408,113.56
55087.444,117.33
55087.474,120.51
55087.51,123.5
55087.544,125.46
55087.578,127.59
55087.612,134.12
55087.643,136.19
55087.676,137.29
55087.709,138.43
55087.743,139.58
55087.786,140.92
55087.811,142.59
55087.844,144.34
55087.875,146.57
55087.91,142.77
55087.945,141.72
55087.977,142.09
55088.01,142.76
55088.042,143.65
55088.076,144.71
55088.111,145.98
55088.145,147.17
55088.175,148.27
55088.208,149.17
55088.243,149.87
55088.275,150.42
55088.311,155.79
55088.344,156.92
55088.376,157.05
55088.413,156.72
55088.443,156.18
55088.475,155.54
55088.513,154.83
55088.54,153.68
55088.576,151.56
55088.611,148.18
55088.642,144.01
55088.677,143.78
55088.712,142.62
55088.744,140.61
55088.777,138.23
55088.811,132.71
55088.843,130.43
55088.874,128.88
55088.909,126.37
55088.946,123.84
55088.976,121.69
55089.01,118.47
55089.046,115.07
55089.075,107.27
55089.11,101.58
55089.142,95.84
55089.176,93.87
55089.21,92.8
55089.243,87.02
55089.276,84.12
55089.311,80.85
55089.343,77.47
55089.377,72.85
55089.412,68.0
55089.443,62.78
55089.478,57.76
55089.507,53.15
55089.543,48.9
55089.579,45.17
55089.609,42.2
55089.647,39.24
55089.675,36.31
55089.71,33.47
55089.746,31.53
55089.779,29.4
55089.809,27.82
55089.844,25.27
55089.874,23.58
55089.911,19.63
55089.943,17.58
55089.978,15.86
55090.013,14.56
55090.042,13.62
55090.077,12.99
55090.109,12.52
55090.142,12.16
55090.179,11.84
55090.208,11.56
55090.242,11.33
55090.277,11.09
55090.311,10.87
55090.346,10.59
55090.379,10.32
55090.409,10.07
55090.445,9.86
55090.474,9.68
55090.509,9.53
55090.542,9.4
55090.581,9.29
55090.61,9.21
55090.642,9.15
55090.674,9.1
55090.71,9.15
55090.742,9.41
55090.78,10.2
55090.814,12.33
55090.842,16.29
55090.877,21.29
55090.908,25.38
55090.949,29.98
55090.976,34.74
55091.009,40.54
55091.043,44.89
