elev,shp,time,elb,rie
41.29,55.73,18:28:55:108,39.55,23.41
59.91,58.47,18:28:55:243,35.06,40.39
74.67,59.24,18:28:55:369,32.22,49.92
91.96,68.26,18:28:55:494,15.28,666.0
105.89,66.39,18:28:55:631,17.05,666.0
120.07,62.8,18:28:55:770,20.73,666.0
123.79,58.35,18:28:55:897,22.32,666.0
134.88,55.06,18:28:56:034,18.66,666.0
140.51,50.15,18:28:56:161,20.56,666.0
147.04,41.7,18:28:56:278,18.22,666.0
150.6,30.55,18:28:56:410,19.1,666.0
151.13,24.42,18:28:56:556,18.45,666.0
151.42,17.97,18:28:56:719,18.42,666.0
150.43,16.21,18:28:56:867,18.32,666.0
148.52,22.85,18:28:57:021,22.19,666.0
146.01,32.8,18:28:57:150,22.41,666.0
137.71,46.5,18:28:57:281,21.97,666.0
123.44,57.81,18:28:57:407,26.13,666.0
108.98,62.42,18:28:57:544,21.44,666.0
89.92,58.93,18:28:57:685,37.75,47.17
77.33,62.9,18:28:57:818,24.61,666.0
70.57,60.52,18:28:57:944,25.53,666.0
51.24,53.39,18:28:58:070,31.38,31.06
39.51,44.56,18:28:58:207,29.2,666.0
31.16,37.03,18:28:58:329,29.64,666.0
25.45,24.9,18:28:58:458,32.61,22.19
18.75,6.1,18:28:58:596,31.1,15.05
15.52,-9.17,18:28:58:727,29.53,666.0
14.45,-19.77,18:28:58:853,29.1,666.0
14.79,-24.71,18:28:58:973,30.14,4.48
14.87,-27.61,18:28:59:101,30.1,3.7
14.94,-28.72,18:28:59:228,30.38,3.5
14.85,-28.64,18:28:59:363,30.3,3.53
14.11,-22.02,18:28:59:488,31.89,4.05
14.25,5.54,18:28:59:617,33.2,6.56
21.52,40.8,18:28:59:752,38.74,8.31
48.53,65.11,18:28:59:884,31.34,24.1
64.83,69.13,18:29:00:026,23.59,666.0
83.93,70.26,18:29:00:157,19.0,666.0
96.55,64.79,18:29:00:278,23.46,666.0
112.7,67.84,18:29:00:405,16.03,666.0
123.63,65.79,18:29:00:540,20.89,666.0
133.15,60.22,18:29:00:667,25.18,666.0
146.41,54.28,18:29:00:788,16.96,666.0
147.97,45.44,18:29:00:924,19.62,666.0
150.69,39.83,18:29:01:052,17.96,666.0
152.27,33.72,18:29:01:174,18.51,666.0
152.82,31.35,18:29:01:296,18.89,666.0
153.07,34.21,18:29:01:434,18.18,666.0
148.66,40.71,18:29:01:560,19.38,666.0
137.52,51.42,18:29:01:696,23.92,666.0
128.17,56.98,18:29:01:838,20.17,666.0
117.65,61.12,18:29:01:962,19.89,666.0
103.98,61.32,18:29:02:095,22.87,666.0
96.28,64.82,18:29:02:216,27.08,666.0
82.75,60.28,18:29:02:337,30.5,47.41
75.73,59.78,18:29:02:484,30.39,64.52
53.2,53.49,18:29:02:617,43.87,30.96
