elev,shp,time,elb,rie
102.59,3.71,19:10:20:725,19.0,666.0
111.04,3.36,19:10:20:854,18.16,666.0
121.17,4.66,19:10:21:015,13.29,666.0
129.17,5.98,19:10:21:155,14.69,666.0
134.97,8.38,19:10:21:294,17.83,666.0
138.19,9.72,19:10:21:433,19.14,666.0
143.48,10.63,19:10:21:568,16.86,666.0
150.74,10.86,19:10:21:711,15.94,666.0
151.75,11.91,19:10:21:836,17.7,666.0
152.41,14.54,19:10:21:960,18.53,666.0
155.25,19.36,19:10:22:094,19.57,666.0
163.76,31.45,19:10:22:242,16.56,666.0
164.32,34.27,19:10:22:376,15.66,666.0
163.73,35.44,19:10:22:505,16.49,666.0
161.5,28.11,19:10:22:638,15.37,666.0
156.95,14.79,19:10:22:771,13.6,666.0
153.1,7.96,19:10:22:901,11.05,666.0
144.89,3.02,19:10:23:029,10.23,666.0
134.14,4.76,19:10:23:156,16.43,666.0
117.52,1.96,19:10:23:287,16.15,666.0
111.14,-1.27,19:10:23:413,11.05,666.0
99.84,-2.77,19:10:23:539,15.13,666.0
90.17,-4.55,19:10:23:666,13.33,666.0
82.06,-6.7,19:10:23:799,15.1,666.0
71.09,-8.21,19:10:23:932,13.9,666.0
60.34,-10.31,19:10:24:059,15.34,666.0
51.44,-11.54,19:10:24:180,13.55,666.0
42.8,-11.74,19:10:24:309,12.92,666.0
35.71,-10.54,19:10:24:438,8.76,666.0
31.07,-10.69,19:10:24:579,12.82,666.0
28.0,-11.95,19:10:24:713,13.02,666.0
23.31,-13.28,19:10:24:843,14.77,666.0
19.95,-14.94,19:10:24:974,17.17,666.0
17.66,-17.11,19:10:25:102,18.66,666.0
16.39,-17.66,19:10:25:242,18.11,666.0
14.27,-17.54,19:10:25:372,19.16,666.0
13.13,-17.82,19:10:25:495,19.39,666.0
12.67,-18.97,19:10:25:633,19.4,666.0
12.8,-19.6,19:10:25:761,19.34,666.0
12.98,-19.53,19:10:25:902,19.76,666.0
16.95,-19.52,19:10:26:039,21.8,666.0
23.74,-16.22,19:10:26:173,23.0,666.0
33.6,-9.91,19:10:26:308,20.62,666.0
42.45,-6.79,19:10:26:447,24.12,666.0
53.39,-4.74,19:10:26:573,20.1,666.0
64.31,-4.06,19:10:26:704,18.96,666.0
74.5,-1.72,19:10:26:836,19.41,666.0
82.09,-1.15,19:10:26:965,16.76,666.0
91.65,0.0,19:10:27:096,19.0,666.0
99.59,1.77,19:10:27:228,17.72,666.0
109.28,2.48,19:10:27:346,15.57,666.0
115.65,4.59,19:10:27:473,14.43,666.0
121.86,6.61,19:10:27:604,14.64,666.0
130.15,8.17,19:10:27:742,14.57,666.0
133.84,8.18,19:10:27:874,16.53,666.0
137.25,9.29,19:10:28:004,17.78,666.0
140.83,9.94,19:10:28:137,16.97,666.0
143.83,10.94,19:10:28:260,16.85,666.0
149.28,13.19,19:10:28:386,17.64,666.0
152.89,12.72,19:10:28:528,17.18,666.0
153.07,17.73,19:10:28:670,19.12,666.0
156.04,22.82,19:10:28:800,19.68,666.0
162.5,36.68,19:10:28:923,15.37,666.0
162.48,40.77,19:10:29:053,17.08,666.0
161.57,45.19,19:10:29:194,17.63,666.0
162.14,44.48,19:10:29:325,16.75,666.0
