elev,shp,time,elb,rie
13.61,-46.61,15:31:36:855,19.08,666.0
12.6,-41.02,15:31:36:975,21.38,666.0
11.8,2.46,15:31:37:107,22.78,666.0
14.6,37.82,15:31:37:225,25.11,666.0
23.62,58.87,15:31:37:354,28.3,666.0
41.23,70.1,15:31:37:473,19.12,666.0
52.55,76.41,15:31:37:591,12.18,666.0
64.35,77.94,15:31:37:709,14.45,666.0
70.18,77.19,15:31:37:840,28.69,666.0
79.88,76.36,15:31:37:957,32.71,11.69
86.23,69.35,15:31:38:076,33.09,33.0
96.75,75.38,15:31:38:196,20.46,666.0
106.56,75.51,15:31:38:331,18.61,666.0
113.15,74.16,15:31:38:461,20.54,666.0
120.13,75.34,15:31:38:600,22.06,666.0
125.47,74.84,15:31:38:731,23.0,666.0
130.88,72.06,15:31:38:862,23.79,666.0
138.62,69.46,15:31:38:989,21.75,666.0
143.69,65.94,15:31:39:130,25.43,666.0
148.17,62.01,15:31:39:262,21.85,666.0
150.55,57.1,15:31:39:393,22.85,666.0
152.53,52.95,15:31:39:523,22.11,666.0
152.82,51.83,15:31:39:656,22.55,666.0
151.17,53.45,15:31:39:783,21.26,666.0
145.78,58.62,15:31:39:909,21.64,666.0
139.83,61.64,15:31:40:030,21.59,666.0
130.52,65.21,15:31:40:156,21.83,666.0
120.57,66.71,15:31:40:282,19.96,666.0
109.63,67.93,15:31:40:405,17.77,666.0
101.51,68.99,15:31:40:531,17.29,666.0
82.41,68.03,15:31:40:662,28.85,666.0
64.09,63.92,15:31:40:794,45.91,23.4
68.88,75.12,15:31:40:926,20.72,666.0
57.75,76.57,15:31:41:046,12.37,666.0
47.03,72.51,15:31:41:184,7.19,666.0
34.24,65.0,15:31:41:316,13.03,666.0
19.54,51.29,15:31:41:447,25.39,666.0
13.51,30.07,15:31:41:573,24.31,666.0
12.11,9.19,15:31:41:692,23.37,666.0
12.73,-9.37,15:31:41:825,19.22,666.0
12.33,-26.31,15:31:41:942,19.94,666.0
11.77,-33.31,15:31:42:060,19.26,666.0
12.1,-41.15,15:31:42:193,18.31,666.0
12.8,-43.82,15:31:42:309,19.21,666.0
13.24,-46.17,15:31:42:435,19.38,666.0
13.2,-46.25,15:31:42:555,19.41,666.0
13.13,-47.0,15:31:42:684,19.56,666.0
12.79,-45.91,15:31:42:803,19.25,666.0
12.7,-45.75,15:31:42:919,19.47,666.0
12.25,-42.61,15:31:43:042,23.28,666.0
11.02,-20.39,15:31:43:163,21.99,666.0
11.67,17.03,15:31:43:287,25.62,666.0
17.6,45.93,15:31:43:414,26.17,666.0
24.57,57.82,15:31:43:540,27.64,666.0
41.46,63.86,15:31:43:659,23.78,666.0
60.13,73.19,15:31:43:774,10.24,666.0
