y,shp,rie,elb,x,date,images
134.7,70.19,-17.26,12.74,45295.37,2023-10-03,10-03-2023-12-34-55-370.jpg
130.82,66.29,-22.66,11.07,45295.466,2023-10-03,10-03-2023-12-34-55-466.jpg
121.92,53.8,-38.03,8.67,45295.57,2023-10-03,10-03-2023-12-34-55-570.jpg
106.3,48.09,-45.07,9.22,45295.668,2023-10-03,10-03-2023-12-34-55-668.jpg
93.25,44.02,-54.24,12.59,45295.773,2023-10-03,10-03-2023-12-34-55-773.jpg
93.17,43.43,-54.5,14.74,45295.887,2023-10-03,10-03-2023-12-34-55-887.jpg
81.16,43.91,-56.55,12.34,45295.987,2023-10-03,10-03-2023-12-34-55-987.jpg
64.54,49.67,-48.0,10.87,45296.106,2023-10-03,10-03-2023-12-34-56-106.jpg
50.11,57.78,-42.78,11.06,45296.206,2023-10-03,10-03-2023-12-34-56-206.jpg
47.39,66.64,-32.35,11.69,45296.32,2023-10-03,10-03-2023-12-34-56-320.jpg
44.83,73.57,-26.24,16.22,45296.421,2023-10-03,10-03-2023-12-34-56-421.jpg
42.03,76.35,-22.19,14.29,45296.519,2023-10-03,10-03-2023-12-34-56-519.jpg
39.86,79.05,-17.62,10.8,45296.619,2023-10-03,10-03-2023-12-34-56-619.jpg
37.43,80.24,-15.31,8.55,45296.72,2023-10-03,10-03-2023-12-34-56-720.jpg
36.97,80.46,-14.9,8.27,45296.817,2023-10-03,10-03-2023-12-34-56-817.jpg
37.03,80.4,-14.93,8.18,45296.92,2023-10-03,10-03-2023-12-34-56-920.jpg
38.54,78.67,-17.7,9.98,45297.036,2023-10-03,10-03-2023-12-34-57-036.jpg
44.87,72.89,-25.23,12.64,45297.132,2023-10-03,10-03-2023-12-34-57-132.jpg
48.77,62.92,-38.72,13.65,45297.234,2023-10-03,10-03-2023-12-34-57-234.jpg
50.85,61.26,-39.74,12.11,45297.336,2023-10-03,10-03-2023-12-34-57-336.jpg
72.11,46.75,-58.84,12.91,45297.437,2023-10-03,10-03-2023-12-34-57-437.jpg
87.17,39.86,-67.48,6.02,45297.554,2023-10-03,10-03-2023-12-34-57-554.jpg
99.13,43.32,-57.09,4.73,45297.654,2023-10-03,10-03-2023-12-34-57-654.jpg
109.03,46.48,-49.79,6.32,45297.77,2023-10-03,10-03-2023-12-34-57-770.jpg
116.45,45.88,-54.07,6.54,45297.871,2023-10-03,10-03-2023-12-34-57-871.jpg
122.08,52.76,-38.93,11.99,45297.968,2023-10-03,10-03-2023-12-34-57-968.jpg
127.31,59.03,-32.53,9.52,45298.065,2023-10-03,10-03-2023-12-34-58-065.jpg
129.41,64.53,-25.17,11.94,45298.171,2023-10-03,10-03-2023-12-34-58-171.jpg
132.71,68.03,-20.36,13.98,45298.267,2023-10-03,10-03-2023-12-34-58-267.jpg
135.38,71.1,-14.29,18.81,45298.376,2023-10-03,10-03-2023-12-34-58-376.jpg
133.88,70.63,-15.17,17.39,45298.47,2023-10-03,10-03-2023-12-34-58-470.jpg
133.21,68.01,-19.67,13.75,45298.566,2023-10-03,10-03-2023-12-34-58-566.jpg
130.95,67.79,-18.41,15.12,45298.667,2023-10-03,10-03-2023-12-34-58-667.jpg
130.46,67.51,-17.94,16.39,45298.764,2023-10-03,10-03-2023-12-34-58-764.jpg
125.46,58.71,-32.88,7.12,45298.885,2023-10-03,10-03-2023-12-34-58-885.jpg
104.73,48.46,-47.48,7.51,45298.984,2023-10-03,10-03-2023-12-34-58-984.jpg
90.42,43.59,-60.16,9.33,45299.087,2023-10-03,10-03-2023-12-34-59-087.jpg
75.66,44.7,-60.57,17.61,45299.186,2023-10-03,10-03-2023-12-34-59-186.jpg
65.32,49.19,-52.69,11.69,45299.288,2023-10-03,10-03-2023-12-34-59-288.jpg
58.58,52.51,-46.63,7.13,45299.381,2023-10-03,10-03-2023-12-34-59-381.jpg
53.39,54.82,-46.47,8.89,45299.483,2023-10-03,10-03-2023-12-34-59-483.jpg
49.58,61.97,-35.43,6.68,45299.585,2023-10-03,10-03-2023-12-34-59-585.jpg
45.51,68.41,-28.41,7.36,45299.69,2023-10-03,10-03-2023-12-34-59-690.jpg
40.74,74.48,-22.02,9.28,45299.805,2023-10-03,10-03-2023-12-34-59-805.jpg
39.94,77.62,-17.24,7.22,45299.908,2023-10-03,10-03-2023-12-34-59-908.jpg
39.45,79.39,-14.31,5.17,45300.019,2023-10-03,10-03-2023-12-35-00-019.jpg
37.1,80.27,-13.6,5.53,45300.121,2023-10-03,10-03-2023-12-35-00-121.jpg
37.33,80.52,-13.63,6.39,45300.237,2023-10-03,10-03-2023-12-35-00-237.jpg
37.59,79.66,-15.78,8.52,45300.338,2023-10-03,10-03-2023-12-35-00-338.jpg
38.07,78.01,-18.35,9.63,45300.452,2023-10-03,10-03-2023-12-35-00-452.jpg
42.88,70.96,-29.04,14.15,45300.558,2023-10-03,10-03-2023-12-35-00-558.jpg
43.98,65.63,-35.39,12.91,45300.672,2023-10-03,10-03-2023-12-35-00-672.jpg
69.26,48.47,-55.67,16.55,45300.772,2023-10-03,10-03-2023-12-35-00-772.jpg
91.35,42.63,-64.69,6.82,45300.916,2023-10-03,10-03-2023-12-35-00-916.jpg
107.29,48.03,-47.33,6.32,45301.016,2023-10-03,10-03-2023-12-35-01-016.jpg
114.3,51.08,-43.69,5.48,45301.125,2023-10-03,10-03-2023-12-35-01-125.jpg
120.15,53.63,-37.36,10.9,45301.226,2023-10-03,10-03-2023-12-35-01-226.jpg
127.48,60.54,-29.86,10.98,45301.331,2023-10-03,10-03-2023-12-35-01-331.jpg
132.12,67.22,-21.68,12.48,45301.436,2023-10-03,10-03-2023-12-35-01-436.jpg
133.95,69.81,-19.23,11.53,45301.536,2023-10-03,10-03-2023-12-35-01-536.jpg
134.07,70.36,-18.65,10.98,45301.638,2023-10-03,10-03-2023-12-35-01-638.jpg
134.75,70.44,-18.55,11.25,45301.732,2023-10-03,10-03-2023-12-35-01-732.jpg
134.0,70.5,-18.21,11.37,45301.843,2023-10-03,10-03-2023-12-35-01-843.jpg
132.87,68.83,-21.05,9.16,45301.951,2023-10-03,10-03-2023-12-35-01-951.jpg
130.56,66.58,-23.44,8.16,45302.055,2023-10-03,10-03-2023-12-35-02-055.jpg
116.28,53.29,-37.57,5.1,45302.181,2023-10-03,10-03-2023-12-35-02-181.jpg
97.13,45.57,-49.78,12.29,45302.285,2023-10-03,10-03-2023-12-35-02-285.jpg
83.25,42.68,-56.78,10.74,45302.381,2023-10-03,10-03-2023-12-35-02-381.jpg
73.87,44.84,-57.29,13.82,45302.487,2023-10-03,10-03-2023-12-35-02-487.jpg
59.86,52.09,-43.7,4.28,45302.586,2023-10-03,10-03-2023-12-35-02-586.jpg
48.18,62.02,-33.44,3.65,45302.683,2023-10-03,10-03-2023-12-35-02-683.jpg
46.48,68.49,-27.36,6.68,45302.786,2023-10-03,10-03-2023-12-35-02-786.jpg
41.7,74.54,-20.54,6.91,45302.889,2023-10-03,10-03-2023-12-35-02-889.jpg
38.28,77.19,-17.03,5.75,45302.985,2023-10-03,10-03-2023-12-35-02-985.jpg
38.46,78.87,-14.65,4.61,45303.081,2023-10-03,10-03-2023-12-35-03-081.jpg
38.71,79.01,-14.57,4.81,45303.169,2023-10-03,10-03-2023-12-35-03-169.jpg
36.91,79.9,-12.81,3.14,45303.269,2023-10-03,10-03-2023-12-35-03-269.jpg
38.43,81.01,-11.1,2.31,45303.37,2023-10-03,10-03-2023-12-35-03-370.jpg
40.33,79.45,-15.16,6.97,45303.481,2023-10-03,10-03-2023-12-35-03-481.jpg
41.71,76.81,-20.26,11.16,45303.586,2023-10-03,10-03-2023-12-35-03-586.jpg
44.22,64.52,-36.86,12.47,45303.687,2023-10-03,10-03-2023-12-35-03-687.jpg
66.37,50.61,-49.56,12.06,45303.802,2023-10-03,10-03-2023-12-35-03-802.jpg
78.98,45.28,-60.34,3.74,45303.906,2023-10-03,10-03-2023-12-35-03-906.jpg
90.04,40.8,-65.62,3.8,45304.006,2023-10-03,10-03-2023-12-35-04-006.jpg
105.73,46.91,-48.79,5.63,45304.101,2023-10-03,10-03-2023-12-35-04-101.jpg
113.65,48.99,-45.72,7.27,45304.2,2023-10-03,10-03-2023-12-35-04-200.jpg
