elev,shp,time,elb,rie
73.23,67.63,14:00:27:136,25.9,666.0
83.44,62.79,14:00:27:254,23.27,666.0
88.16,65.67,14:00:27:371,20.91,666.0
96.39,67.73,14:00:27:500,19.02,666.0
102.04,66.74,14:00:27:623,25.88,666.0
113.76,65.23,14:00:27:761,20.75,666.0
120.15,61.19,14:00:27:894,21.03,666.0
127.15,58.5,14:00:28:028,22.47,666.0
134.79,54.85,14:00:28:168,21.39,666.0
140.02,51.3,14:00:28:292,24.91,666.0
147.01,46.46,14:00:28:422,21.91,666.0
152.63,41.21,14:00:28:546,19.05,666.0
155.85,30.13,14:00:28:675,20.35,666.0
158.29,19.05,14:00:28:811,19.69,666.0
158.38,14.78,14:00:28:942,19.41,666.0
157.55,16.23,14:00:29:066,19.7,666.0
156.54,20.78,14:00:29:187,20.21,666.0
156.41,20.39,14:00:29:318,19.95,666.0
155.4,20.0,14:00:29:445,20.29,666.0
153.78,22.44,14:00:29:573,20.82,666.0
152.2,23.28,14:00:29:707,19.97,666.0
150.46,29.48,14:00:29:847,20.73,666.0
148.28,36.64,14:00:29:971,20.81,666.0
146.52,41.16,14:00:30:093,20.5,666.0
144.82,45.0,14:00:30:213,20.36,666.0
140.98,49.98,14:00:30:333,20.04,666.0
134.03,54.8,14:00:30:459,22.2,666.0
125.58,58.39,14:00:30:592,22.22,666.0
120.44,60.3,14:00:30:717,23.62,666.0
115.01,62.2,14:00:30:852,22.94,666.0
109.69,63.5,14:00:30:978,22.19,666.0
99.79,64.09,14:00:31:124,24.74,666.0
89.2,63.47,14:00:31:267,34.43,42.92
81.09,64.5,14:00:31:389,34.56,32.64
76.33,60.46,14:00:31:518,38.13,39.58
66.82,58.3,14:00:31:663,40.73,36.58
59.92,57.09,14:00:31:817,45.19,29.53
49.44,55.6,14:00:31:956,48.51,21.02
45.93,59.69,14:00:32:092,34.79,19.75
43.13,58.92,14:00:32:221,26.72,666.0
36.83,54.45,14:00:32:346,23.56,666.0
31.51,47.42,14:00:32:475,25.55,666.0
23.61,34.38,14:00:32:597,31.37,21.81
19.8,27.13,14:00:32:732,29.59,666.0
15.79,14.65,14:00:32:863,31.53,15.27
14.12,9.28,14:00:32:993,28.39,666.0
11.8,-2.19,14:00:33:129,29.32,666.0
10.48,-12.1,14:00:33:263,28.44,666.0
9.85,-21.3,14:00:33:398,27.85,666.0
10.16,-21.84,14:00:33:527,27.41,666.0
10.54,-22.44,14:00:33:654,27.06,666.0
11.3,-24.82,14:00:33:782,27.15,666.0
11.35,-24.69,14:00:33:916,27.58,666.0
11.34,-22.21,14:00:34:039,27.47,666.0
11.21,-20.74,14:00:34:169,27.31,666.0
11.02,-17.57,14:00:34:302,28.44,666.0
10.23,-10.76,14:00:34:438,28.58,666.0
10.02,0.16,14:00:34:576,29.72,666.0
12.02,27.51,14:00:34:709,30.05,8.24
15.35,42.57,14:00:34:836,30.45,6.71
20.08,49.08,14:00:34:964,32.32,10.1
31.99,60.79,14:00:35:091,20.95,666.0
34.23,61.18,14:00:35:215,25.52,666.0
41.5,65.31,14:00:35:341,23.25,666.0
46.77,66.84,14:00:35:470,29.37,666.0
55.03,69.29,14:00:35:587,23.43,666.0
44.18,64.6,14:00:35:716,41.94,14.2
42.9,63.27,14:00:35:849,60.95,2.43
64.61,65.81,14:00:35:971,40.54,24.16
69.86,64.34,14:00:36:090,35.42,28.51
83.12,67.67,14:00:36:217,17.54,666.0
87.92,67.87,14:00:36:349,19.65,666.0
98.33,67.22,14:00:36:485,15.49,666.0
102.78,60.68,14:00:36:611,25.58,666.0
111.39,64.5,14:00:36:741,20.34,666.0
116.14,58.94,14:00:36:869,22.69,666.0
121.68,54.94,14:00:37:013,23.54,666.0
127.39,51.27,14:00:37:143,23.87,666.0
