elev,shp,time,elb,rie
82.1,0.76,15:27:48:977,16.06,666.0
81.96,0.87,15:27:49:116,18.22,666.0
82.42,0.54,15:27:49:242,22.05,666.0
82.41,0.19,15:27:49:364,21.18,666.0
82.19,-0.04,15:27:49:481,22.73,666.0
81.94,-0.51,15:27:49:604,29.29,666.0
82.02,-0.35,15:27:49:724,35.6,-98.53
85.23,-0.22,15:27:49:845,52.59,-95.09
85.99,-0.61,15:27:49:969,64.17,-94.13
87.63,-0.8,15:27:50:102,73.81,-99.51
88.73,-0.41,15:27:50:227,81.3,-96.33
88.92,-0.11,15:27:50:352,96.98,-85.01
92.16,1.16,15:27:50:479,106.56,72.04
99.13,1.78,15:27:50:605,110.38,88.92
97.28,2.16,15:27:50:727,119.22,82.36
96.59,1.95,15:27:50:847,127.38,79.77
96.37,1.06,15:27:50:969,128.29,85.93
96.14,1.02,15:27:51:089,128.83,85.66
95.99,0.13,15:27:51:216,128.82,93.23
99.19,0.85,15:27:51:344,122.29,86.33
100.45,0.08,15:27:51:467,110.24,94.03
95.48,-0.96,15:27:51:597,97.71,106.4
92.92,-1.26,15:27:51:715,87.65,119.01
91.01,-2.98,15:27:51:836,71.7,168.86
90.38,-2.8,15:27:51:959,56.22,174.44
90.53,-2.03,15:27:52:076,45.38,163.56
89.06,-1.51,15:27:52:198,33.26,-157.2
87.19,-1.44,15:27:52:321,26.78,666.0
85.66,-1.05,15:27:52:445,17.48,666.0
84.2,-0.44,15:27:52:565,19.82,666.0
84.02,-0.2,15:27:52:699,17.2,666.0
83.59,0.16,15:27:52:832,17.46,666.0
83.81,0.22,15:27:52:971,15.87,666.0
83.7,0.51,15:27:53:104,20.61,666.0
83.77,0.09,15:27:53:234,22.8,666.0
83.3,0.63,15:27:53:370,31.87,-103.5
84.37,1.13,15:27:53:502,37.9,-83.05
87.38,1.27,15:27:53:635,49.32,-66.01
87.65,1.15,15:27:53:761,57.61,-61.97
87.84,1.2,15:27:53:898,71.18,-54.37
88.57,0.79,15:27:54:042,83.54,-51.47
89.6,0.59,15:27:54:173,96.18,-24.54
93.28,0.05,15:27:54:293,104.29,98.03
97.2,0.89,15:27:54:434,109.61,91.23
98.51,1.85,15:27:54:570,120.5,86.75
97.41,1.46,15:27:54:698,127.92,86.51
96.67,1.54,15:27:54:843,127.61,86.3
96.6,2.23,15:27:54:980,128.49,78.57
98.4,2.43,15:27:55:117,124.51,76.47
99.6,0.31,15:27:55:267,112.44,91.18
94.14,-1.91,15:27:55:408,98.36,118.65
91.82,-1.98,15:27:55:537,83.65,142.01
90.43,-1.88,15:27:55:669,67.94,170.51
89.26,-2.28,15:27:55:800,49.8,-160.87
87.75,-1.46,15:27:55:943,39.72,-127.4
85.71,-1.02,15:27:56:077,32.35,-112.03
83.39,-0.41,15:27:56:204,29.29,666.0
83.53,-0.16,15:27:56:328,18.48,666.0
81.9,-0.03,15:27:56:454,20.69,666.0
81.5,0.53,15:27:56:578,16.62,666.0
81.43,0.65,15:27:56:696,16.71,666.0
81.24,0.62,15:27:56:816,20.52,666.0
80.94,0.1,15:27:56:937,18.82,666.0
80.64,0.22,15:27:57:057,20.87,666.0
80.88,0.07,15:27:57:190,22.92,666.0
80.78,-0.05,15:27:57:310,25.89,666.0
