elev,shp,time,elb,rie
111.98,-8.34,12:56:52:856,11.06,666.0
104.52,-8.49,12:56:52:987,11.97,666.0
97.61,-9.41,12:56:53:123,12.32,666.0
90.17,-8.92,12:56:53:258,12.37,666.0
81.45,-7.75,12:56:53:393,10.54,666.0
74.68,-7.67,12:56:53:532,13.15,666.0
66.98,-8.77,12:56:53:656,11.7,666.0
59.87,-8.47,12:56:53:779,14.41,666.0
53.91,-10.94,12:56:53:913,16.06,666.0
48.97,-12.84,12:56:54:055,14.87,666.0
44.01,-13.93,12:56:54:185,14.21,666.0
40.43,-15.21,12:56:54:321,13.9,666.0
36.28,-15.47,12:56:54:456,13.53,666.0
32.21,-17.39,12:56:54:586,13.45,666.0
28.25,-20.15,12:56:54:714,13.74,666.0
24.97,-22.63,12:56:54:852,13.85,666.0
22.15,-28.21,12:56:54:986,16.01,666.0
19.18,-32.36,12:56:55:118,17.02,666.0
17.45,-35.22,12:56:55:248,16.32,666.0
15.77,-36.89,12:56:55:385,16.55,666.0
14.63,-37.0,12:56:55:519,16.24,666.0
14.37,-35.65,12:56:55:642,16.75,666.0
14.13,-35.42,12:56:55:772,17.22,666.0
14.02,-35.16,12:56:55:904,17.82,666.0
14.13,-34.89,12:56:56:036,18.16,666.0
14.47,-33.88,12:56:56:168,18.0,666.0
14.9,-34.28,12:56:56:308,18.25,666.0
16.21,-34.63,12:56:56:444,19.57,666.0
20.42,-33.37,12:56:56:580,19.49,666.0
26.42,-25.06,12:56:56:717,21.78,666.0
36.13,-17.37,12:56:56:843,19.26,666.0
44.98,-13.17,12:56:56:965,21.81,666.0
50.06,-11.61,12:56:57:110,20.72,666.0
57.89,-8.38,12:56:57:253,18.51,666.0
64.14,-6.88,12:56:57:392,16.3,666.0
68.71,-6.26,12:56:57:522,17.13,666.0
72.73,-4.99,12:56:57:649,16.45,666.0
78.18,-4.07,12:56:57:783,15.27,666.0
83.01,-4.22,12:56:57:914,18.92,666.0
90.93,-1.73,12:56:58:040,14.27,666.0
95.51,-2.46,12:56:58:178,16.93,666.0
100.51,-2.28,12:56:58:306,16.63,666.0
105.2,-2.92,12:56:58:435,16.74,666.0
110.23,-2.55,12:56:58:569,16.54,666.0
115.42,-3.37,12:56:58:718,15.55,666.0
121.04,-3.71,12:56:58:848,15.31,666.0
128.3,-3.12,12:56:58:972,16.12,666.0
131.96,-2.39,12:56:59:109,16.59,666.0
134.56,-1.23,12:56:59:238,18.93,666.0
136.42,-0.37,12:56:59:377,19.52,666.0
140.31,2.32,12:56:59:512,18.52,666.0
142.45,5.5,12:56:59:642,19.49,666.0
144.62,7.83,12:56:59:785,22.17,666.0
148.74,10.82,12:56:59:923,21.81,666.0
149.87,15.93,12:57:00:068,21.87,666.0
156.01,25.12,12:57:00:225,17.43,666.0
161.05,28.75,12:57:00:392,18.01,666.0
162.37,32.29,12:57:00:532,21.56,666.0
163.83,38.22,12:57:00:675,22.99,666.0
164.7,44.91,12:57:00:802,21.48,666.0
164.28,47.98,12:57:00:945,20.87,666.0
162.5,43.99,12:57:01:075,23.6,666.0
161.08,38.59,12:57:01:209,21.9,666.0
160.91,34.31,12:57:01:342,19.9,666.0
156.46,28.28,12:57:01:470,21.39,666.0
152.06,27.3,12:57:01:602,21.08,666.0
149.02,21.31,12:57:01:735,19.41,666.0
145.09,15.24,12:57:01:865,15.69,666.0
142.75,14.8,12:57:01:992,15.09,666.0
138.38,10.44,12:57:02:120,15.13,666.0
135.4,8.42,12:57:02:255,13.67,666.0
132.62,6.12,12:57:02:391,11.73,666.0
127.48,3.68,12:57:02:524,10.89,666.0
118.91,-0.3,12:57:02:653,11.58,666.0
116.33,-1.51,12:57:02:783,12.42,666.0
113.65,-2.65,12:57:02:922,14.57,666.0
112.0,-1.98,12:57:03:053,12.6,666.0
110.3,-1.65,12:57:03:184,11.87,666.0
106.59,-1.68,12:57:03:335,9.98,666.0
102.85,-2.5,12:57:03:467,16.49,666.0
96.43,-3.24,12:57:03:611,19.75,666.0
90.62,-4.0,12:57:03:749,23.19,666.0
86.51,-3.76,12:57:03:885,15.25,666.0
78.72,-3.87,12:57:04:015,17.43,666.0
72.03,-3.42,12:57:04:140,16.1,666.0
66.88,-3.69,12:57:04:276,17.01,666.0
61.56,-4.11,12:57:04:404,17.76,666.0
56.69,-5.0,12:57:04:539,18.31,666.0
52.38,-6.12,12:57:04:672,16.33,666.0
47.03,-7.39,12:57:04:802,15.72,666.0
40.5,-9.14,12:57:04:937,14.63,666.0
35.14,-9.16,12:57:05:068,14.39,666.0
31.71,-10.94,12:57:05:213,14.48,666.0
26.83,-12.14,12:57:05:339,15.46,666.0
22.54,-14.35,12:57:05:481,16.14,666.0
19.43,-16.05,12:57:05:614,16.94,666.0
17.9,-16.55,12:57:05:747,16.2,666.0
16.74,-18.87,12:57:05:883,16.64,666.0
16.22,-19.2,12:57:06:020,16.96,666.0
16.45,-19.18,12:57:06:156,17.09,666.0
19.2,-18.79,12:57:06:285,17.87,666.0
24.88,-12.87,12:57:06:421,19.95,666.0
32.79,-7.24,12:57:06:551,17.59,666.0
39.51,-4.66,12:57:06:693,14.4,666.0
44.62,-2.95,12:57:06:832,17.79,666.0
50.0,-2.35,12:57:06:965,17.92,666.0
57.37,-1.5,12:57:07:098,16.53,666.0
66.19,-1.43,12:57:07:234,14.02,666.0
73.44,-1.19,12:57:07:371,14.38,666.0
79.23,-1.08,12:57:07:499,14.88,666.0
82.8,-0.8,12:57:07:628,17.04,666.0
92.0,-0.28,12:57:07:773,15.76,666.0
99.26,-0.81,12:57:07:901,15.79,666.0
108.25,-1.58,12:57:08:036,8.12,666.0
112.45,-1.03,12:57:08:169,13.85,666.0
117.44,-2.6,12:57:08:299,13.69,666.0
122.36,-1.89,12:57:08:433,15.57,666.0
129.24,0.11,12:57:08:570,14.98,666.0
131.87,0.71,12:57:08:707,13.9,666.0
133.99,1.26,12:57:08:836,14.75,666.0
135.91,2.73,12:57:08:970,16.08,666.0
137.64,4.32,12:57:09:102,17.15,666.0
139.47,6.07,12:57:09:225,16.7,666.0
141.59,8.0,12:57:09:358,16.33,666.0
143.88,9.3,12:57:09:497,16.57,666.0
145.93,11.14,12:57:09:622,17.42,666.0
148.23,13.01,12:57:09:754,22.76,666.0
150.37,16.78,12:57:09:895,21.91,666.0
152.3,22.08,12:57:10:025,19.52,666.0
157.61,28.93,12:57:10:152,15.8,666.0
158.37,29.42,12:57:10:278,19.18,666.0
160.85,33.11,12:57:10:417,16.24,666.0
154.6,24.56,12:57:10:550,20.74,666.0
149.56,14.96,12:57:10:675,21.9,666.0
146.7,11.6,12:57:10:806,14.46,666.0
141.44,9.63,12:57:10:934,13.2,666.0
137.65,8.01,12:57:11:070,11.95,666.0
132.56,5.78,12:57:11:208,11.02,666.0
126.22,4.94,12:57:11:340,9.74,666.0
119.97,4.04,12:57:11:472,10.9,666.0
116.13,3.49,12:57:11:604,12.42,666.0
112.05,1.49,12:57:11:746,11.36,666.0
106.49,-0.33,12:57:11:878,9.01,666.0
101.63,-1.52,12:57:12:001,7.76,666.0
